id,floor,max_floor,size,rent,maintenance_fee,deposit,key_money,layout,year_built,nearest_station,location,url
16533,8,9,30.87,136000,10000,272000,0,1K,2000,9,Nishiazabu| Minato-ku| Tokyo,http://www.realestate.co.jp/rent/view/392638
17426,11,11,38.6,153000,10000,153000,0,1K,2005,2,Sendagaya| Shibuya-ku| Tokyo,http://www.realestate.co.jp/rent/view/285526
7560,2,2,21.14,64000,2000,64000,0,1K,2017,4,Tobitakyu| Chofu-shi| Tokyo,http://www.realestate.co.jp/rent/view/454033
18762,1,2,19.96,88500,3540,0,88500,1K,2013,3,Matsubara| Setagaya-ku| Tokyo,http://www.realestate.co.jp/rent/view/386729
9403,6,6,21.27,78000,15000,156000,78000,1R,2015,6,Hiratsuka| Shinagawa-ku| Tokyo,http://www.realestate.co.jp/rent/view/509728
21618,2,4,15.03,74000,5000,74000,74000,1R,2017,4,Higashioi| Shinagawa-ku| Tokyo,http://www.realestate.co.jp/rent/view/503588
13859,2,2,49.68,57000,4540,57000,57000,2DK,2000,16,Takagi| Higashiyamato-shi| Tokyo,http://www.realestate.co.jp/rent/view/349716
18463,3,4,19.86,76500,5500,76500,76500,1K,2000,6,Koenjiminami| Suginami-ku| Tokyo,http://www.realestate.co.jp/rent/view/130761
10738,8,10,51.21,138000,12000,138000,138000,1LDK,2007,12,Kaigan(3-chome)| Minato-ku| Tokyo,http://www.realestate.co.jp/rent/view/447768
7710,8,8,49.72,140000,10000,0,0,1K,2005,1,Takanawa| Minato-ku| Tokyo,http://www.realestate.co.jp/rent/view/494922
16049,4,9,25.84,126000,10000,0,126000,1K,2008,6,Nishiazabu| Minato-ku| Tokyo,http://www.realestate.co.jp/rent/view/244638
10359,15,15,22.59,82000,10000,164000,82000,1K,2006,4,Kamata| Ota-ku| Tokyo,http://www.realestate.co.jp/rent/view/439070
10782,3,3,37.3,112000,8000,112000,0,2DK,1980,1,Shimmachi| Setagaya-ku| Tokyo,http://www.realestate.co.jp/rent/view/486637
10841,20,20,57.98,237000,0,711000,0,2DK,1993,3,Roppongi| Minato-ku| Tokyo,http://www.realestate.co.jp/rent/view/422473
10669,4,11,33.98,150000,10500,0,0,1K,2003,12,Nishiazabu| Minato-ku| Tokyo,http://www.realestate.co.jp/rent/view/500431
14958,2,5,16.24,59000,7000,59000,59000,1K,1994,9,Kitashinjuku| Shinjuku-ku| Tokyo,http://www.realestate.co.jp/rent/view/294996
7815,5,5,25.49,109000,7000,109000,109000,1R,2005,10,Sangenjaya| Setagaya-ku| Tokyo,http://www.realestate.co.jp/rent/view/485219
15657,3,14,21.94,86000,10000,86000,86000,1K,2005,4,Nishishinjuku| Shinjuku-ku| Tokyo,http://www.realestate.co.jp/rent/view/204062
12255,2,3,27.25,84000,5040,0,84000,1K,2016,3,Arakawa| Arakawa-ku| Tokyo,http://www.realestate.co.jp/rent/view/387450
19593,10,10,49.63,170000,10000,340000,0,1K,1999,5,Roppongi| Minato-ku| Tokyo,http://www.realestate.co.jp/rent/view/234862
7514,5,6,25.65,74000,12000,74000,74000,1K,2017,7,Azusawa| Itabashi-ku| Tokyo,http://www.realestate.co.jp/rent/view/508943
9513,2,2,19.87,74500,5000,0,74500,1K,2006,17,Edogawa(sonota)| Edogawa-ku| Tokyo,http://www.realestate.co.jp/rent/view/454860
